Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Internally Displaced Persons,Asylum-seekers,Others of Concern to UNHCR,Stateless Persons,Venezuelans Displaced Abroad
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+idps,#affected+asylum_seekers,#affected+others,#affected+stateless,#affected+vda
2007,NPL,MEX,Nepal,Mexico,5,0,0,0,0,0
2007,NPL,MYS,Nepal,Malaysia,16,0,187,0,0,0
2007,NPL,NPL,Nepal,Nepal,0,50000,0,0,0,0
2007,NPL,NLD,Nepal,Netherlands,156,0,0,0,0,0
2007,NPL,NOR,Nepal,Norway,16,0,69,0,0,0
2007,NPL,NZL,Nepal,New Zealand,17,0,0,0,0,0
2007,NPL,POL,Nepal,Poland,5,0,5,0,0,0
2007,NPL,ESP,Nepal,Spain,5,0,0,0,0,0
2007,NPL,SWE,Nepal,Sweden,10,0,36,0,0,0
2007,NPL,THA,Nepal,Thailand,51,0,24,0,0,0
2007,NPL,UKR,Nepal,Ukraine,0,0,5,0,0,0
2007,NPL,USA,Nepal,United States of America,1953,0,575,0,0,0
2008,NPL,AUS,Nepal,Australia,114,0,17,0,0,0
2008,NPL,AUT,Nepal,Austria,19,0,167,0,0,0
2008,NPL,BEL,Nepal,Belgium,24,0,0,0,0,0
2008,NPL,CAN,Nepal,Canada,730,0,202,0,0,0
2008,NPL,CYP,Nepal,Cyprus,0,0,183,0,0,0
2008,NPL,CZE,Nepal,Czechia,0,0,5,0,0,0
2008,NPL,DNK,Nepal,Denmark,5,0,0,0,0,0
2008,NPL,ECU,Nepal,Ecuador,5,0,8,0,0,0
2008,NPL,FIN,Nepal,Finland,8,0,0,0,0,0
2008,NPL,FRA,Nepal,France,42,0,0,0,0,0
2008,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,153,0,0,0,0,0
2008,NPL,DEU,Nepal,Germany,259,0,36,0,0,0
2008,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",8,0,44,0,0,0
2008,NPL,HUN,Nepal,Hungary,15,0,0,0,0,0
