Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications,,
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+procedure_type,#indicator+procedure+name,#indicator+application_type+code,#indicator+application_type,#indicator+application_data_type,#indicator+application_data,#indicator+application_average_persons+num,#inneed+asylum_seekers+applications,,
2007,NPL,ISR,Nepal,Israel,J,Joint,FA,First and appeal,P,Persons,1.1,7,,
2007,NPL,ITA,Nepal,Italy,G,Government,N,New,P,Persons,0,5,,
2007,NPL,JPN,Nepal,Japan,G,Government,N,New,P,Persons,0,5,,
2007,NPL,KOR,Nepal,Republic of Korea,G,Government,NR,New and repeat,P,Persons,0,275,,
2007,NPL,LTU,Nepal,Lithuania,G,Government,N,New,P,Persons,0,5,,
2007,NPL,MYS,Nepal,Malaysia,U,UNHCR,N,New,P,Persons,2.3,8,,
2007,NPL,NLD,Nepal,Netherlands,G,Government,N,New,P,Persons,0,38,,
2007,NPL,NOR,Nepal,Norway,G,Government,A,Appeal,P,Persons,0,80,,
2007,NPL,NOR,Nepal,Norway,G,Government,N,New,P,Persons,0,46,,
2007,NPL,POL,Nepal,Poland,G,Government,A,Appeal,P,Persons,0,5,,
2007,NPL,POL,Nepal,Poland,G,Government,N,New,P,Persons,1.5,12,,
2007,NPL,PRT,Nepal,Portugal,G,Government,N,New,P,Persons,0,5,,
2007,NPL,SEN,Nepal,Senegal,G,Government,N,New,P,Persons,0,5,,
2007,NPL,ESP,Nepal,Spain,G,Government,N,New,P,Persons,0,27,,
2007,NPL,SVK,Nepal,Slovakia,G,Government,N,New,P,Persons,1,7,,
2007,NPL,SWE,Nepal,Sweden,G,Government,N,New,P,Persons,0,25,,
2007,NPL,CHE,Nepal,Switzerland,G,Government,N,New,P,Persons,0,8,,
2007,NPL,THA,Nepal,Thailand,U,UNHCR,A,Appeal,P,Persons,1.5,13,,
2007,NPL,THA,Nepal,Thailand,U,UNHCR,N,New,P,Persons,1.5,31,,
2007,NPL,UKR,Nepal,Ukraine,G,Government,A,Appeal,P,Persons,1.3,7,,
2007,NPL,UKR,Nepal,Ukraine,G,Government,N,New,P,Persons,1.3,7,,
2007,NPL,USA,Nepal,United States of America,G,Government,A,Appeal,P,Persons,0,41,,
2007,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,491,,
2008,NPL,AUS,Nepal,Australia,G,Government,A,Appeal,C,Cases,0,40,,
2008,NPL,AUS,Nepal,Australia,G,Government,N,New,P,Persons,0,33,,
2008,NPL,AUT,Nepal,Austria,G,Government,NR,New and repeat,P,Persons,1,30,,
2008,NPL,BEL,Nepal,Belgium,G,Government,N,New,P,Persons,0,39,,
2008,NPL,CAN,Nepal,Canada,G,Government,N,New,P,Persons,0,100,,
2008,NPL,CYP,Nepal,Cyprus,G,Government,A,Appeal,P,Persons,0,59,,
2008,NPL,CYP,Nepal,Cyprus,G,Government,N,New,P,Persons,0,49,,
2008,NPL,CZE,Nepal,Czechia,G,Government,N,New,P,Persons,0,5,,
2008,NPL,DNK,Nepal,Denmark,G,Government,N,New,P,Persons,0,5,,
2008,NPL,ECU,Nepal,Ecuador,G,Government,NR,New and repeat,P,Persons,2,5,,
2008,NPL,FRA,Nepal,France,G,Government,N,New,P,Persons,0,41,,
2008,NPL,FRA,Nepal,France,G,Government,R,Repeat,P,Persons,0,5,,
2008,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,G,Government,N,New,P,Persons,0,30,,
2008,NPL,DEU,Nepal,Germany,G,Government,N,New,P,Persons,0,7,,
2008,NPL,DEU,Nepal,Germany,G,Government,R,Repeat,P,Persons,0,5,,
2008,NPL,GRC,Nepal,Greece,G,Government,N,New,P,Persons,0,5,,
2008,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,A,Appeal,P,Persons,1,86,,
2008,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,N,New,P,Persons,1,44,,
2008,NPL,IRL,Nepal,Ireland,G,Government,A,Appeal,P,Persons,0,5,,
2008,NPL,IRL,Nepal,Ireland,G,Government,N,New,P,Persons,0,6,,
2008,NPL,ISR,Nepal,Israel,J,Joint,N,New,P,Persons,1.1,5,,
2008,NPL,ITA,Nepal,Italy,G,Government,N,New,P,Persons,0,14,,
2008,NPL,JPN,Nepal,Japan,G,Government,N,New,P,Persons,0,20,,
2008,NPL,KOR,Nepal,Republic of Korea,G,Government,NR,New and repeat,P,Persons,0,12,,
2008,NPL,MEX,Nepal,Mexico,G,Government,N,New,P,Persons,0,8,,
2008,NPL,MYS,Nepal,Malaysia,U,UNHCR,N,New,P,Persons,1.5,7,,
2008,NPL,NLD,Nepal,Netherlands,G,Government,N,New,P,Persons,0,100,,
2008,NPL,NIC,Nepal,Nicaragua,G,Government,N,New,P,Persons,0,5,,
2008,NPL,NOR,Nepal,Norway,G,Government,N,New,P,Persons,0,63,,
2008,NPL,NOR,Nepal,Norway,G,Government,N,New,P,Persons,0,144,,
2008,NPL,NZL,Nepal,New Zealand,G,Government,A,Appeal,P,Persons,0,5,,
2008,NPL,NZL,Nepal,New Zealand,G,Government,N,New,P,Persons,0,6,,
2008,NPL,POL,Nepal,Poland,G,Government,A,Appeal,P,Persons,0,7,,
2008,NPL,POL,Nepal,Poland,G,Government,N,New,P,Persons,0,6,,
2008,NPL,ESP,Nepal,Spain,G,Government,N,New,P,Persons,0,7,,
2008,NPL,SWE,Nepal,Sweden,G,Government,N,New,P,Persons,0,38,,
2008,NPL,SWE,Nepal,Sweden,G,Government,N,New,P,Persons,0,88,,
2008,NPL,CHE,Nepal,Switzerland,G,Government,N,New,P,Persons,0,19,,
2008,NPL,THA,Nepal,Thailand,U,UNHCR,A,Appeal,P,Persons,1.5,6,,
2008,NPL,THA,Nepal,Thailand,U,UNHCR,N,New,P,Persons,1.5,5,,
2008,NPL,USA,Nepal,United States of America,G,Government,N,New,P,Persons,0,55,,
2008,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,625,,
2009,NPL,AUS,Nepal,Australia,G,Government,A,Appeal,C,Cases,0,15,,
2009,NPL,AUS,Nepal,Australia,G,Government,N,New,P,Persons,0,45,,
2009,NPL,AUT,Nepal,Austria,G,Government,NR,New and repeat,P,Persons,0,41,,
2009,NPL,BEL,Nepal,Belgium,G,Government,N,New,P,Persons,0,65,,
2009,NPL,CAN,Nepal,Canada,G,Government,N,New,P,Persons,0,118,,
2009,NPL,COL,Nepal,Colombia,G,Government,N,New,P,Persons,0,10,,
2009,NPL,CRI,Nepal,Costa Rica,G,Government,N,New,P,Persons,0,15,,
2009,NPL,CYP,Nepal,Cyprus,G,Government,A,Appeal,P,Persons,0,130,,
2009,NPL,CYP,Nepal,Cyprus,G,Government,N,New,P,Persons,0,56,,
2009,NPL,DNK,Nepal,Denmark,G,Government,N,New,P,Persons,1,5,,
2009,NPL,ECU,Nepal,Ecuador,G,Government,NR,New and repeat,P,Persons,2,5,,
2009,NPL,FRA,Nepal,France,G,Government,N,New,P,Persons,0,34,,
2009,NPL,FRA,Nepal,France,G,Government,N,New,P,Persons,0,5,,
2009,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,G,Government,N,New,P,Persons,0,18,,
2009,NPL,DEU,Nepal,Germany,G,Government,N,New,P,Persons,0,16,,
2009,NPL,DEU,Nepal,Germany,G,Government,R,Repeat,P,Persons,0,6,,
2009,NPL,GRC,Nepal,Greece,G,Government,N,New,P,Persons,0,7,,
2009,NPL,GTM,Nepal,Guatemala,G,Government,N,New,P,Persons,1,5,,
2009,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,A,Appeal,P,Persons,1,35,,
2009,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,N,New,P,Persons,1,104,,
2009,NPL,HND,Nepal,Honduras,G,Government,N,New,P,Persons,0,6,,
